ErrorCode,ErrorText
337731," ISO : Null passed as pointer TCP : Network is unreachable"
337732," ISO : Null passed as pointer TCP : Network dropped connection on reset"
337733," ISO : Null passed as pointer TCP : Software caused connection abort"
337734," ISO : Null passed as pointer TCP : Connection reset by peer"
337735," ISO : Null passed as pointer TCP : No Buffer space available"
337736," ISO : Null passed as pointer TCP : Socket is already connected"
337737," ISO : Null passed as pointer TCP : Socket is not connected"
337738," ISO : Null passed as pointer TCP : Can't send after Socket shutdown"
337739," ISO : Null passed as pointer TCP : Too many references:can't splice"
337740," ISO : Null passed as pointer TCP : Connection timed out"
337741," ISO : Null passed as pointer TCP : Connection refused"
337742," ISO : Null passed as pointer TCP : Too many levels of symbolic links"
337743," ISO : Null passed as pointer TCP : File name is too long"
337744," ISO : Null passed as pointer TCP : Host is down"
337745," ISO : Null passed as pointer TCP : Unreachable peer"
337746," ISO : Null passed as pointer TCP : Directory is not empty"
337747," ISO : Null passed as pointer TCP : Too many processes"
337748," ISO : Null passed as pointer TCP : Too many users"
337749," ISO : Null passed as pointer TCP : Disk quota exceeded"
337750," ISO : Null passed as pointer TCP : Stale NFS file handle"
337751," ISO : Null passed as pointer TCP : Too many levels of remote in path"
337771," ISO : Null passed as pointer TCP : Network subsystem is unusable"
337772," ISO : Null passed as pointer TCP : Winsock DLL cannot support this application"
337773," ISO : Null passed as pointer TCP : Winsock not initialized"
337781," ISO : Null passed as pointer TCP : Disconnect"
338681," ISO : Null passed as pointer TCP : Host not found"
338682," ISO : Null passed as pointer TCP : Non authoritative - host not found"
338683," ISO : Null passed as pointer TCP : Non recoverable error"
338684," ISO : Null passed as pointer TCP : Valid name, no data record of requested type"
339681," ISO : Null passed as pointer TCP : Invalid address"
393216," ISO : A short packet received"
403220," ISO : A short packet received TCP : Interrupted system call"
403225," ISO : A short packet received TCP : Bad file number"
403229," ISO : A short packet received TCP : Permission denied"
403230," ISO : A short packet received TCP : Bad address"
403238," ISO : A short packet received TCP : Invalid argument"
403240," ISO : A short packet received TCP : Too many open files"
403251," ISO : A short packet received TCP : Operation would block"
403252," ISO : A short packet received TCP : Operation now in progress"
403253," ISO : A short packet received TCP : Operation already in progress"
403254," ISO : A short packet received TCP : Socket operation on non socket"
403255," ISO : A short packet received TCP : Destination address required"
403256," ISO : A short packet received TCP : Message too long"
403257," ISO : A short packet received TCP : Protocol wrong type for Socket"
403258," ISO : A short packet received TCP : Protocol not available"
403259," ISO : A short packet received TCP : Protocol not supported"
403260," ISO : A short packet received TCP : Socket not supported"
403261," ISO : A short packet received TCP : Operation not supported on Socket"
403262," ISO : A short packet received TCP : Protocol family not supported"
403263," ISO : A short packet received TCP : Address family not supported"
403264," ISO : A short packet received TCP : Address already in use"
403265," ISO : A short packet received TCP : Can't assign requested address"
403266," ISO : A short packet received TCP : Network is down"
403267," ISO : A short packet received TCP : Network is unreachable"
403268," ISO : A short packet received TCP : Network dropped connection on reset"
403269," ISO : A short packet received TCP : Software caused connection abort"
403270," ISO : A short packet received TCP : Connection reset by peer"
403271," ISO : A short packet received TCP : No Buffer space available"
403272," ISO : A short packet received TCP : Socket is already connected"
403273," ISO : A short packet received TCP : Socket is not connected"
403274," ISO : A short packet received TCP : Can't send after Socket shutdown"
403275," ISO : A short packet received TCP : Too many references:can't splice"
403276," ISO : A short packet received TCP : Connection timed out"
403277," ISO : A short packet received TCP : Connection refused"
403278," ISO : A short packet received TCP : Too many levels of symbolic links"
403279," ISO : A short packet received TCP : File name is too long"
403280," ISO : A short packet received TCP : Host is down"
403281," ISO : A short packet received TCP : Unreachable peer"
403282," ISO : A short packet received TCP : Directory is not empty"
403283," ISO : A short packet received TCP : Too many processes"
403284," ISO : A short packet received TCP : Too many users"
403285," ISO : A short packet received TCP : Disk quota exceeded"
403286," ISO : A short packet received TCP : Stale NFS file handle"
403287," ISO : A short packet received TCP : Too many levels of remote in path"
403307," ISO : A short packet received TCP : Network subsystem is unusable"
403308," ISO : A short packet received TCP : Winsock DLL cannot support this application"
403309," ISO : A short packet received TCP : Winsock not initialized"
403317," ISO : A short packet received TCP : Disconnect"
404217," ISO : A short packet received TCP : Host not found"
404218," ISO : A short packet received TCP : Non authoritative - host not found"
404219," ISO : A short packet received TCP : Non recoverable error"
404220," ISO : A short packet received TCP : Valid name, no data record of requested type"
405217," ISO : A short packet received TCP : Invalid address"
458752," ISO : Too many packets without EoT flag"
468756," ISO : Too many packets without EoT flag TCP : Interrupted system call"
468761," ISO : Too many packets without EoT flag TCP : Bad file number"
468765," ISO : Too many packets without EoT flag TCP : Permission denied"
468766," ISO : Too many packets without EoT flag TCP : Bad address"
468774," ISO : Too many packets without EoT flag TCP : Invalid argument"
468776," ISO : Too many packets without EoT flag TCP : Too many open files"
468787," ISO : Too many packets without EoT flag TCP : Operation would block"
468788," ISO : Too many packets without EoT flag TCP : Operation now in progress"
468789," ISO : Too many packets without EoT flag TCP : Operation already in progress"
468790," ISO : Too many packets without EoT flag TCP : Socket operation on non socket"
468791," ISO : Too many packets without EoT flag TCP : Destination address required"
468792," ISO : Too many packets without EoT flag TCP : Message too long"
468793," ISO : Too many packets without EoT flag TCP : Protocol wrong type for Socket"
468794," ISO : Too many packets without EoT flag TCP : Protocol not available"
468795," ISO : Too many packets without EoT flag TCP : Protocol not supported"
468796," ISO : Too many packets without EoT flag TCP : Socket not supported"
